gvkey,fyear,fic,sic,at,seq,price,shares,profit,roa,mktcap,pb,roa_w,pb_w,common_law,sic2
023451,2022,JPN,4011,646951,145697,2224,38.451,6980,0.010789070578760988,85515.024,0.5869374386569387,0.010789070578760988,0.5869374386569387,0,40
025143,2022,MYS,5140,1283.483,1191.362,0.3,14.252,-44.494,-0.034666606413953284,4.2756,0.0035888336206795243,-0.034666606413953284,0.0035888336206795243,1,51
025367,2022,ISR,7372,505.141,262.927,56.02,0.048,40.47,0.08011624477126188,2.6889600000000002,0.010227021188390695,0.08011624477126188,0.010227021188390695,0,73
025773,2022,SGP,3577,108.046,76.647,1.42,11.069,-10.978,-0.1016048719989634,15.71798,0.20506973527991962,-0.1016048719989634,0.20506973527991962,1,35
028236,2022,ISR,3663,385.411,244.125,19.64,0.069,-5.928,-0.015380982898775592,1.3551600000000001,0.005551090629800308,-0.015380982898775592,0.005551090629800308,0,36
028272,2022,GBR,2834,96483,37037,112.18,68.434,3288,0.034078542333882654,7676.92612,0.2072772125172125,0.034078542333882654,0.2072772125172125,1,28
028384,2022,CYM,7372,668.344,400.504,64.33,0.049,52.595,0.07869450462636007,3.15217,0.007870508159718754,0.07869450462636007,0.007870508159718754,0,73
030874,2022,KOR,4911,234804994,40545396,21800,694.654,-24466853,-0.10420073518538536,15143457.2,0.3734938783185149,-0.10420073518538536,0.3734938783185149,0,49
030923,2022,GBR,1389,9444.3,3240.2,11.045,3.64,-61.9,-0.006554217888038288,40.2038,0.012407814332448615,-0.006554217888038288,0.012407814332448615,1,13
033805,2022,AUS,7372,1.767,1.585,0.0195,1.37,-1.715,-0.9705715902659876,0.026715000000000003,0.016854889589905366,-0.9705715902659876,0.016854889589905366,1,73
035056,2022,CHE,3851,29209,19677,63.18,0.001,335,0.011469067753089802,0.06318,3.2108553133099557e-6,0.011469067753089802,7.351888091412304e-5,0,38
202440,2022,JPN,2673,3930,3180,315,2,67,0.017048346055979643,630,0.19811320754716982,0.017048346055979643,0.19811320754716982,0,26
063186,2022,NLD,3826,6287.735,3466.611,47.01,0.07,423.211,0.06730738493273015,3.2907,9.492556274701719e-4,0.06730738493273015,9.492556274701719e-4,0,38
064746,2022,CHL,5411,166353.232,88641.881,3.37,0.233,5766.713,0.03466547016050761,0.7852100000000001,8.85822808746579e-6,0.03466547016050761,7.351888091412304e-5,0,54
065500,2022,BMU,4400,879.883,539.982,2.73,0.465,15.101,0.017162509106324365,1.26945,0.0023509116970565685,0.017162509106324365,0.0023509116970565685,0,44
066001,2022,NZL,4841,776.85,493.224,2.3,8.664,62.145,0.07999613825062754,19.9272,0.040401926913532185,0.07999613825062754,0.040401926913532185,1,48
100012,2022,JPN,3510,5474812,1740975,5234,240.455,130451,0.0238274848524479,1258541.47,0.7228946251382128,0.0238274848524479,0.7228946251382128,0,35
100023,2022,MYS,3674,2566.001,1905.651,9.2,4.572,210.939,0.08220534598388698,42.0624,0.02207245712882369,0.08220534598388698,0.02207245712882369,1,36
100048,2022,JPN,3559,1873536,1615376,19835,40.576,170587,0.09105082581813213,804824.96,0.49822763245213497,0.09105082581813213,0.49822763245213497,0,35
100064,2022,JPN,3541,287538,203517,4700,7.212,19195,0.06675639393749695,33896.4,0.16655316263506242,0.06675639393749695,0.16655316263506242,0,35
100076,2022,SGP,9997,31064.977,11579.78,7.26,69.293,855.151,0.02752781693673876,503.06718,0.043443587011152196,0.02752781693673876,0.043443587011152196,1,99
100088,2022,GBR,8711,482.2,211.2,0.3938,7.98,25.9,0.053712152633761924,3.142524,0.014879375,0.053712152633761924,0.014879375,1,87
101063,2022,JPN,1600,128055,45720,1008,15.664,3038,0.0237241810159697,15789.312,0.34534803149606297,0.0237241810159697,0.34534803149606297,0,16
100140,2022,JPN,2030,708374,430428,10420,52.636,44760,0.06318696056038195,548467.12,1.2742366202942188,0.06318696056038195,1.2742366202942188,0,20
100145,2022,JPN,3330,2707899,1631671,4671,47.791,160585,0.05930243336254417,223231.761,0.13681174758882153,0.05930243336254417,0.13681174758882153,0,33
100153,2022,JPN,4731,3776797,2478642,3110,297.009,1012523,0.2680903951152259,923697.99,0.3726629299430898,0.21672848031447423,0.3726629299430898,0,47
100155,2022,JPN,3312,9567099,4181156,2292,426.024,694016,0.07254194819140054,976447.008,0.23353517735286605,0.07254194819140054,0.23353517735286605,0,33
100158,2022,JPN,2911,9954517,2859832,448,522.044,143766,0.014442287857863922,233875.712,0.08177952830795655,0.014442287857863922,0.08177952830795655,0,29
100159,2022,JPN,3570,171250,120756,2433,10.083,11288,0.06591532846715328,24531.939000000002,0.20315296134353575,0.06591532846715328,0.20315296134353575,0,35
100165,2022,AUS,1311,28856,14843,7.14,176.153,2112,0.07319101746603826,1257.7324199999998,0.08473572862628848,0.07319101746603826,0.08473572862628848,1,13
100208,2022,JPN,2013,937155,492913,3675,57.718,18053,0.01926362234635679,212113.65000000002,0.43032675137397475,0.01926362234635679,0.43032675137397475,0,20
100213,2022,JPN,3350,526201,205475,1513,36.362,7203,0.013688685502308054,55015.706000000006,0.2677489037595815,0.013688685502308054,0.2677489037595815,0,33
100226,2022,JPN,3670,2872763,2402511,6588,116.386,253690,0.08830871185684305,766750.968,0.3191456638491978,0.08830871185684305,0.3191456638491978,0,36
100230,2022,JPN,2834,158831,126775,3480,6.133,6649,0.04186210500469052,21342.84,0.16835211989745613,0.04186210500469052,0.16835211989745613,0,28
100234,2022,JPN,3540,647562,504128,1034,35.582,34158,0.052748617120831676,36791.788,0.07298104449663577,0.052748617120831676,0.07298104449663577,0,35
100235,2022,JPN,3670,736997,398217,1197,38.561,11470,0.015563156973501928,46157.517,0.11591046339056343,0.015563156973501928,0.11591046339056343,0,36
100236,2022,JPN,3541,348461,197288,4330,5.656,16073,0.046125678339900306,24490.48,0.12413567981833665,0.046125678339900306,0.12413567981833665,0,35
100241,2022,MYS,2082,1408.221,488.453,25.2,12.058,412.824,0.2931528502983552,303.8616,0.6220897404663295,0.21672848031447423,0.6220897404663295,1,20
100245,2022,JPN,3825,600224,368694,8480,25.125,130400,0.217252225835688,213060,0.5778775895458023,0.21672848031447423,0.5778775895458023,0,38
100247,2022,JPN,4512,3366724,862419,2800,735.213,89477,0.026576874136400846,2058596.4,2.387002605462078,0.026576874136400846,2.387002605462078,0,45
100251,2022,AUS,4932,19270,6516,8.07,145.339,860,0.04462895692786715,1172.88573,0.18000087937384898,0.04462895692786715,0.18000087937384898,1,49
100253,2022,JPN,2030,1511734,768677,4031,109.646,94065,0.06222324826986758,441983.026,0.5749918704475352,0.06222324826986758,0.5749918704475352,0,20
100258,2022,JPN,2800,3454526,1660922,941.4,155.551,-91312,-0.026432569909735807,146435.71139999997,0.0881653150479071,-0.026432569909735807,0.0881653150479071,0,28
100259,2022,JPN,3211,2814029,1390255,4395,102.533,-3152,-0.0011201021737871216,450632.53500000003,0.3241366044358769,-0.0011201021737871216,0.3241366044358769,0,32
