costat,curcd,datafmt,indfmt,consol,gvkey,fyear,conm,sic,at,seq,ni,csho,prcc_f
A,USD,STD,INDL,C,018049,2023,F N B CORP/FL,6020,46158.0000,6050.0000,484.8510,358.8290,13.770000000000
A,USD,STD,INDL,C,018067,2023,STATE STREET SPDR BL 1-10 YR,6722,,,,71.8000,18.590000000000
A,USD,STD,INDL,C,018068,2023,SPDR S&P GLOBAL DIVIDEND ETF,6722,,,,3.6250,60.470000000000
A,USD,STD,INDL,C,018071,2023,REXFORD INDUS REALTY,6798,10929.8290,7766.9170,238.0160,212.3460,56.100000000000
A,USD,STD,INDL,C,018073,2023,CHERRY HILL MTG INVST,6798,1392.9920,255.4760,-34.7940,30.0200,4.040000000000
A,USD,STD,INDL,C,018075,2023,AZUL SA,4512,4231.7610,-4395.5950,-490.6040,115.8780,9.690000000000
A,USD,STD,INDL,C,018173,2023,EVOKE PHARMA INC,2834,7.0690,-2.5800,-7.7920,3.3430,1.050300000000
A,USD,STD,INDL,C,027672,2023,WCF BANCORP INC,6035,196.1680,22.6090,-0.1630,1.3190,7.010000000000
A,USD,STD,INDL,C,029917,2023,COMMERCIAL NATIONAL FINL CP,6020,579.1610,46.8100,6.1730,3.9650,9.260000000000
A,USD,STD,INDL,C,018111,2023,VANGUARD TOTAL INTERNATIONAL,6722,,,,1092.9390,49.365000000000
A,USD,STD,INDL,C,018112,2023,VANGUARD EM MKTS GOVT BD ETF,6722,,,,56.8860,63.750000000000
A,USD,STD,INDL,C,018114,2023,TECOGEN INC,3585,27.7930,14.7460,-4.5980,24.8500,0.810000000000
A,USD,STD,INDL,C,018121,2023,ARCH THERAPEUTICS INC,2836,1.9580,-7.5080,-6.9830,4.6890,1.300000000000
I,USD,STD,INDL,C,018144,2023,BAIYU HOLDINGS INC,5051,455.2850,385.9380,-0.7200,19.3350,1.640000000000
I,USD,STD,INDL,C,018145,2023,PHYSICIANS REALTY TR,6798,5155.6210,2763.5270,41.8760,238.5200,13.310000000000
A,USD,STD,INDL,C,027674,2023,FLEXSHRS STOXX US ESG SELECT,6722,,,,1.6250,116.027000000000
A,USD,STD,INDL,C,018159,2023,AGIOS PHARMACEUTICALS,2836,937.1180,811.0190,-352.0880,55.9450,22.270000000000
A,USD,STD,INDL,C,018162,2023,ESPERION THERAPEUTICS INC,2834,205.7960,-454.9940,-209.2480,118.2100,2.990000000000
A,USD,STD,INDL,C,027675,2023,FLEXSHRS STOXX GBL ESG SELEC,6722,,,,1.1500,149.530600000000
A,USD,STD,INDL,C,018172,2023,TRAWS PHARMA INC,2836,22.6830,10.6720,-18.9480,21.0030,0.745600000000
A,USD,STD,INDL,C,018182,2023,FIDELITY D & D BANCORP INC,6020,2503.1590,189.4790,18.2100,5.7040,58.030000000000
A,USD,STD,INDL,C,018185,2023,INVESCO GLB EX-US H YD CP BD,6722,,,,6.7500,19.530000000000
A,USD,STD,INDL,C,018195,2023,FIRST NATIONAL BANK ALASKA,6020,5730.8350,464.7910,60.0100,3.1669,198.890000000000
A,USD,STD,INDL,C,018204,2023,ANI PHARMACEUTICALS INC,2834,904.4220,457.5990,18.7790,20.4670,55.140000000000
A,USD,STD,INDL,C,018229,2023,VANECK ISRAEL ETF,6722,,,,1.7000,34.977600000000
A,USD,STD,INDL,C,018241,2023,FIRST COMMONWLTH FINL CP/PA,6020,11459.4880,1314.2740,157.0630,102.1150,15.440000000000
A,USD,STD,INDL,C,018245,2023,PRINCIPAL REAL EST INCME FD,6726,,,,6.7650,8.690000000000
A,USD,STD,INDL,C,018252,2023,ALPS INTL SECTOR DIV DOGS,6722,,,,8.4000,29.871800000000
A,USD,STD,INDL,C,018257,2023,WISDOMTREE JAPAN OPPRTN FUND,6722,,,,2.0000,33.490000000000
A,USD,STD,INDL,C,018264,2023,FVCBANKCORP INC,6020,2190.5580,217.1170,3.8220,17.8070,14.200000000000
A,USD,STD,INDL,C,018275,2023,CASHMERE VALLEY BANK,6020,2042.7380,202.3780,27.9820,3.8840,50.990000000000
A,USD,STD,INDL,C,018276,2023,FIRST FINANCIAL CORP,6020,4851.1460,527.9760,60.6720,11.7950,43.030000000000
A,USD,STD,INDL,C,018289,2023,ARDMORE SHIPPING CORP,4412,690.9510,574.4440,116.8080,41.3050,14.090000000000
A,USD,STD,INDL,C,018290,2023,DSS INC,7373,153.1920,63.9270,-60.6270,141.3350,0.120100000000
A,USD,STD,INDL,C,018293,2023,CLEARWAY ENERGY INC,4911,14701.0000,2101.0000,79.0000,117.0050,27.430000000000
A,USD,STD,INDL,C,018301,2023,FIRST KEYSTONE CORP,6020,1415.8700,121.6150,5.5600,6.0910,16.000000000000
A,USD,STD,INDL,C,018304,2023,STATE STREET SPDR PT S&P 600,6722,,,,196.7100,38.840000000000
I,USD,STD,INDL,C,018307,2023,FIRST LONG ISLAND CORP,6020,4235.9000,380.1460,26.2390,22.5910,13.240000000000
A,USD,STD,INDL,C,018312,2023,US FOODS HOLDING CORP,5140,13187.0000,4749.0000,506.0000,245.1000,45.410000000000
A,USD,STD,INDL,C,018315,2023,PRECIGEN INC,2836,151.0430,118.4980,-95.9040,248.9190,1.340000000000
A,USD,STD,INDL,C,018320,2023,FOX FACTORY HOLDING CP,3751,2242.2980,1221.7610,120.8460,41.9540,67.480000000000
A,USD,STD,INDL,C,018329,2023,FIRST BUSEY CORP,6020,12283.4150,1271.9810,122.5650,55.2440,24.820000000000
A,USD,STD,INDL,C,018351,2023,EQUINOX GOLD CORP,1040,4350.3770,2442.4610,28.8840,318.0140,4.890000000000
A,USD,STD,INDL,C,018358,2023,FIRST UNITED CORP,6020,1905.8600,161.8730,15.0600,6.6400,23.510000000000
A,USD,STD,INDL,C,018373,2023,ISHARES MSCI USA QUALITY FAC,6722,,,,245.3000,147.140000000000
A,USD,STD,INDL,C,018383,2023,BRIXMOR PROPERTY GROUP INC,6798,8332.7160,2850.3010,305.0870,300.5960,23.270000000000
A,USD,STD,INDL,C,018385,2023,FRANKLIN FINANCIAL SVCS CORP,6020,1836.0390,132.1360,13.5980,4.3710,31.550000000000
A,USD,STD,INDL,C,018533,2023,HORIZON BANCORP INC,6020,7940.4850,718.8120,27.9810,43.6520,14.310000000000
A,USD,STD,INDL,C,018387,2023,DOGECOIN CASH INC,8090,2.0210,-0.6020,-1.3920,88.8140,0.009000000000
A,USD,STD,INDL,C,018398,2023,BEELINE HOLDINGS INC,6162,17.4800,0.8530,-7.5350,1.7060,1.290000000000
A,USD,STD,INDL,C,018418,2023,WISDOMTREE US SMCAP QTY DIV,6722,,,,6.5950,47.440000000000
A,USD,STD,INDL,C,018424,2023,LIPOCINE INC,2834,23.0010,20.3690,-16.3520,5.3160,2.790000000000
A,USD,STD,INDL,C,018428,2023,KKR INCOME OPPORTUNITIES FD,6726,,,,20.3400,12.570000000000
A,USD,STD,INDL,C,018434,2023,ALERUS FINANCIAL CORP,6020,3907.7130,369.1270,11.6960,19.7340,22.390000000000
A,USD,STD,INDL,C,018441,2023,SIRIUSPOINT LTD,6331,12871.5000,2513.9000,354.8000,168.1200,11.600000000000
A,USD,STD,INDL,C,018465,2023,ANTERO RESOURCES CORP,1311,13619.4140,6981.4040,242.9190,303.5440,22.680000000000
A,USD,STD,INDL,C,018466,2023,SUBARU CORP,3711,31828.6020,16946.5470,2545.9710,1503.5880,11.319000000000
A,USD,STD,INDL,C,018467,2023,FUJITSU LTD,7373,23238.1140,11585.8940,1682.4740,919.6430,32.740000000000
A,USD,STD,INDL,C,018468,2023,PLAINS GP HOLDINGS LP,5171,28597.0000,1548.0000,198.0000,196.4170,15.950000000000
A,USD,STD,INDL,C,018475,2023,WISDOMTREE EMG MKTS QLTY DIV,6722,,,,4.9000,24.580000000000
A,USD,STD,INDL,C,018476,2023,KRANESHARES CSI CHINA INTNET,6722,,,,200.1500,27.000000000000
A,USD,STD,INDL,C,018486,2023,FIRST TRUST MANAGED F S FUND,6722,,,,3.0520,46.112000000000
A,USD,STD,INDL,C,018490,2023,LOGICMARK INC,3845,17.0170,14.9120,-14.5510,2.1500,1.060000000000
A,USD,STD,INDL,C,018494,2023,INDEPENDENCE REALTY TRUST,6798,6280.1750,3431.2970,-17.2270,224.7070,15.300000000000
A,USD,STD,INDL,C,018498,2023,MURPHY USA INC,5500,4340.1000,828.9000,556.8000,20.8370,356.560000000000
A,USD,STD,INDL,C,018500,2023,GLOBAL X MLP & ENERGY INFRAS,6722,,,,21.9380,44.620000000000
A,USD,STD,INDL,C,018509,2023,IDEAL POWER INC,3613,12.2480,10.0600,-9.9540,5.9970,7.770000000000
A,USD,STD,INDL,C,018524,2023,HONAT BANCORP INC,6020,963.2100,124.8300,12.8660,1.4350,117.510000000000
A,USD,STD,INDL,C,018540,2023,SCHWAB FNDMTL US BRD MKT ETF,6722,,,,10.6500,61.100000000000
A,USD,STD,INDL,C,018541,2023,SCHWAB FNDMN US LARGE CO ETF,6722,,,,215.2500,61.940000000000
A,USD,STD,INDL,C,018542,2023,SCHWAB FUNDMNTL US SM CO ETF,6722,,,,139.6000,55.350000000000
A,USD,STD,INDL,C,018543,2023,SCHWAB FUNDAMNTL INTL EQ ETF,6722,,,,354.1000,33.730000000000
A,USD,STD,INDL,C,018544,2023,SCHWAB FNDMTL INTL SM EQ ETF,6722,,,,92.9000,34.860000000000
A,USD,STD,INDL,C,018547,2023,SCHWAB FNDML EMG MKTS EQ ETF,6722,,,,203.5000,27.140000000000
A,USD,STD,INDL,C,018684,2023,AURORA SPINE CORP,3841,11.9850,5.2970,-1.6810,77.4220,0.290000000000
A,USD,STD,INDL,C,018549,2023,CLEARONE INC,3663,50.6940,44.6850,-0.5600,23.9690,1.081400000000
A,USD,STD,INDL,C,018556,2023,CHEGG INC,7370,1727.2350,944.6180,18.1800,102.8240,11.360000000000
A,USD,STD,INDL,C,018562,2023,FATE THERAPEUTICS INC,2836,506.2170,368.4170,-160.9280,98.6270,3.740000000000
A,USD,STD,INDL,C,018564,2023,APPLIED OPTOELECTRONICS INC,3674,389.1860,214.8690,-56.0480,38.1480,19.320000000000
A,USD,STD,INDL,C,018578,2023,RE/MAX HOLDINGS INC,6531,577.1500,411.0600,-69.0220,18.2690,13.330000000000
A,USD,STD,INDL,C,018603,2023,FIRST TR S&P INTL DIV ARIS,6722,,,,4.6500,16.120000000000
A,USD,STD,INDL,C,018616,2023,TREES CORP,5990,23.2470,0.1480,-7.0820,108.7470,0.067500000000
A,USD,STD,INDL,C,018621,2023,DIREXION DAILY MSFT BL 2X SH,6722,,,,1.5000,39.630000000000
I,USD,STD,INDL,C,018624,2023,PREMIER INC,8742,3371.4870,2334.3550,175.0260,119.1580,27.660000000000
A,USD,STD,INDL,C,018626,2023,GLOBANT SA,7370,2735.3550,1729.6640,158.5380,43.0860,237.980000000000
A,USD,STD,INDL,C,018629,2023,LGI HOMES INC,1531,3407.8510,1856.0310,199.2270,23.5820,133.160000000000
A,USD,STD,INDL,C,018630,2023,RINGCENTRAL INC,7370,1944.9130,-303.1200,-165.2400,93.4670,33.950000000000
A,USD,STD,INDL,C,018636,2023,DIAGEO PLC,2085,45267.1670,9940.1980,4745.1670,561.0000,173.480000000000
A,USD,STD,INDL,C,018658,2023,MACROGENICS INC,2836,298.4180,152.6130,-9.0580,62.0710,9.620000000000
A,USD,STD,INDL,C,018685,2023,AMERICANN INC,6512,15.1550,5.7070,-0.0950,24.3920,0.330000000000
I,USD,STD,INDL,C,018666,2023,ASENSUS SURGICAL INC,3841,59.0860,33.4140,-78.4330,264.9220,0.318900000000
A,USD,STD,INDL,C,018672,2023,CORSA COAL CORP,1220,191.2810,85.5300,23.5530,103.7690,0.300000000000
A,USD,STD,INDL,C,018675,2023,BURLINGTON STORES INC,5600,7706.8400,996.9320,339.6490,63.9640,191.150000000000
A,USD,STD,INDL,C,018683,2023,SCIENCE APPLICATIONS INTL CP,7373,5314.0000,1785.0000,477.0000,52.0000,127.660000000000
A,USD,STD,INDL,C,018689,2023,VEEVA SYSTEMS INC,7370,5910.9200,4644.8240,525.7050,161.2600,207.410000000000
A,USD,STD,INDL,C,018695,2023,CB FINANCIAL SERVICES INC,6020,1456.0910,139.8340,22.5500,5.1200,23.810000000000
A,USD,STD,INDL,C,018699,2023,PTC INC,7372,6288.8420,2677.2900,245.5400,118.8460,141.680000000000
A,USD,STD,INDL,C,018724,2023,KEWEENAW LAND ASSN LTD,1000,15.6760,15.3550,0.1690,1.1780,24.000000000000
A,USD,STD,INDL,C,018729,2023,KIRIN HOLDINGS CO LTD,2082,20357.8690,8034.9370,799.5130,809.8740,14.655000000000
A,USD,STD,INDL,C,018732,2023,LAKELAND FINANCIAL CORP,6020,6524.0290,649.7040,93.7670,25.4310,65.160000000000
A,USD,STD,INDL,C,018738,2023,DOMINARI HOLDINGS INC,6282,57.5580,52.9230,-22.8820,5.9350,2.590000000000
A,USD,STD,INDL,C,018745,2023,ESSENT GROUP LTD,6351,6426.6730,5102.5500,696.3860,106.5970,52.740000000000
I,USD,STD,INDL,C,018748,2023,VOXELJET AG,3555,50.3620,14.5780,-12.5010,9.1350,1.270000000000
A,USD,STD,INDL,C,018750,2023,CRITEO SA,7311,2431.9190,1079.6050,53.2590,55.7650,25.320000000000
A,USD,STD,INDL,C,018763,2023,ISHARES SHORT DURATIO BO ETF,6722,,,,60.5000,50.520000000000
I,USD,STD,INDL,C,018779,2023,LOGAN RIDGE FINANCE CORP,6797,197.0880,89.1750,-2.4820,2.6750,22.610000000000
A,USD,STD,INDL,C,018792,2023,GAMING & LEISURE PPTYS,6798,11806.6580,4156.9050,734.2830,270.9230,49.350000000000
A,USD,STD,INDL,C,018817,2023,ROYCE GLOBAL TRUST INC,6726,,,,6.3100,9.750000000000
A,USD,STD,INDL,C,018819,2023,XTRACKERS MSCI EU HGD EQ ETF,6722,,,,15.5000,37.773600000000
A,USD,STD,INDL,C,018821,2023,XTRACKERS INTERNATINL RE ETF,6722,,,,31.5000,21.880000000000
A,USD,STD,INDL,C,018829,2023,INVESCO S&P ULTRA DIV RV ETF,6722,,,,17.3500,43.700000000000
I,USD,STD,INDL,C,018839,2023,POTBELLY CORP,5812,252.4600,14.6930,5.1190,29.3640,10.420000000000
I,USD,STD,INDL,C,018842,2023,CONTAINER STORE GROUP,5700,936.3650,159.6910,-103.2870,49.6080,1.140000000000
A,USD,STD,INDL,C,018850,2023,EMPIRE STATE REALTY OP LP,6798,4219.3330,1715.6380,84.3390,268.2360,9.400000000000
A,USD,STD,INDL,C,018861,2023,DIREXION DLY JU GD MN IDX 2X,6722,,,,8.0930,33.890000000000
A,USD,STD,INDL,C,018862,2023,DIREXION DLY JU GD MN IND 2X,6722,,,,15.9820,5.500000000000
A,USD,STD,INDL,C,018869,2023,WIX COM LTD,7370,1804.1360,-54.4850,33.1370,57.1730,123.020000000000
A,USD,STD,INDL,C,018874,2023,COSMOS HEALTH INC,5122,66.0150,36.0430,-18.5430,15.8960,1.410000000000
A,USD,STD,INDL,C,018875,2023,EXP WORLD HOLDINGS INC,6531,385.6680,242.8390,-8.9730,154.6690,15.520000000000
A,USD,STD,INDL,C,018878,2023,CRESCENT BIOPHARMA INC,2836,45.3160,38.4140,-36.8990,64.3940,2.360000000000
A,USD,STD,INDL,C,018885,2023,CUENTAS INC,4812,4.7200,-0.0700,-2.1960,2.7200,0.680000000000
A,USD,STD,INDL,C,018886,2023,ALPS RIVERFRONT STRAT INC FD,6722,,,,4.5250,23.163600000000
A,USD,STD,INDL,C,018888,2023,AMNEAL PHARMACEUTICALS INC,2834,3472.5690,19.7810,-83.9930,306.5650,6.070000000000
A,USD,STD,INDL,C,018892,2023,NFT LTD,7370,73.6920,60.8040,5.2040,69.9840,0.185800000000
A,USD,STD,INDL,C,018899,2023,TANDEM DIABETES CARE INC,3845,952.6580,313.6320,-222.6110,65.5520,29.580000000000
A,USD,STD,INDL,C,018902,2023,FLEXSHRS STOXX GLBL BRD INFS,6722,,,,41.6500,53.500000000000
A,USD,STD,INDL,C,018904,2023,PROSHARES S&P 500 DIV ARISTO,6722,,,,123.6500,95.200000000000
A,USD,STD,INDL,C,018907,2023,STATE ST ULTRA SHT TR BD ETF,6722,,,,14.4500,40.380000000000
A,USD,STD,INDL,C,018908,2023,ARAX HOLDINGS CORP,7372,7.1480,6.8900,-18.5440,126.1610,1.300000000000
A,USD,STD,INDL,C,018925,2023,TREVENA INC,2836,40.6050,-7.6570,-40.2890,17.2890,0.722100000000
A,USD,STD,INDL,C,018926,2023,DYNAGAS LNG PARTNERS LP,4412,908.9130,448.2400,35.8720,36.8020,2.800000000000
A,USD,STD,INDL,C,018930,2023,KARYOPHARM THERAPEUTICS INC,2836,240.4380,-136.2060,-143.0990,114.9150,0.865000000000
A,USD,STD,INDL,C,018938,2023,XENCOR INC,2836,965.1350,661.7500,-133.1330,60.9980,21.230000000000
A,USD,STD,INDL,C,018939,2023,RENAISSANCE IPO ETF,6722,,,,5.3000,37.710000000000
A,USD,STD,INDL,C,018946,2023,M&F BANCORP INC,6020,453.2580,125.2020,5.6950,1.9820,15.500000000000
A,USD,STD,INDL,C,018947,2023,VERACYTE INC,2835,1114.9060,1044.1020,-74.4040,73.2650,27.510000000000
A,USD,STD,INDL,C,018948,2023,MECHANICS BANCORP,6020,17501.7950,2235.6050,201.9140,0.0642,24000.000000000000
A,USD,STD,INDL,C,018958,2023,ISHARES 0-5 YR INV GRD CP BD,6722,,,,45.1000,49.200000000000
A,USD,STD,INDL,C,018959,2023,ISHARES 0-5 YR HGH YLD CP BD,6722,,,,123.7000,42.220000000000
A,USD,STD,INDL,C,018965,2023,EASTERN ENERGY GAS HLDG LLC,4923,12700.0000,6233.0000,474.0000,,
A,USD,STD,INDL,C,018974,2023,PRIME MERIDIAN HOLDING CO,6020,854.5280,79.9760,8.7080,3.2600,23.550000000000
A,USD,STD,INDL,C,018977,2023,ROBO GLOBAL ROBOTICS AUTOMN,6722,,,,24.3250,57.300000000000
A,USD,STD,INDL,C,018978,2023,ONE GP HOSPITALITY (THE),5812,317.2450,69.1760,4.7180,31.2840,6.120000000000
A,USD,STD,INDL,C,018998,2023,FIRST TR GLOBAL TACTICAL CMD,6722,,,,107.7530,22.440000000000
A,USD,STD,INDL,C,019000,2023,MARCUS & MILLICHAP INC,6531,878.4110,645.2740,-34.0350,38.4120,43.680000000000
A,USD,STD,INDL,C,019001,2023,FIDELITY MSCI CONSMR DISCR,6722,,,,17.6500,78.940000000000
A,USD,STD,INDL,C,019003,2023,FIDELITY MSCI CONSMR STAPLES,6722,,,,23.8000,44.630000000000
A,USD,STD,INDL,C,019004,2023,FIDELITY MSCI ENERGY ETF,6722,,,,63.8500,23.040000000000
A,USD,STD,INDL,C,019005,2023,FIDELITY MSCI FINANCIALS ETF,6722,,,,28.1000,53.550000000000
A,USD,STD,INDL,C,019006,2023,FIDELITY MSCI HEALTH CARE,6722,,,,46.9000,64.690000000000
A,USD,STD,INDL,C,019007,2023,FIDELITY MSCI INDUSTRIALS,6722,,,,14.4500,61.230000000000
