"costat","curcd","datafmt","indfmt","consol","gvkey","fyear","conm","sic","at","seq","ni","csho","prcc_f","ROA","MarketCap","PB","ROA_w","PB_w"
"A","USD","STD","INDL","C",5338,2023,"GREIF INC  -CL A",2650,5960.8,1947.9,359.2,46.805,63.5,0.0602603677358744,2972.1175,1.52580599620104,0.0602603677358744,1.52580599620104
"A","USD","STD","INDL","C",5439,2023,"HALLIBURTON CO",1389,24683,9391,2638,889,36.15,0.106875177247498,32137.35,3.42214354168885,0.106875177247498,3.42214354168885
"A","USD","STD","INDL","C",5492,2023,"L3HARRIS TECHNOLOGIES INC",3812,41687,18765,1227,189.809,210.62,0.0294336363854439,39977.57158,2.13043280468958,0.0294336363854439,2.13043280468958
"A","USD","STD","INDL","C",5496,2023,"ENVIRI CORP",3390,2854.552,523.151,-86.121,79.835,9,-0.0301697078911157,718.515,1.37343711471449,-0.0301697078911157,1.37343711471449
"A","USD","STD","INDL","C",5518,2023,"HASBRO INC",3944,6540.9,1061.9,-1489.3,138.789,51.06,-0.227690378999832,7086.56634,6.67347804878049,-0.227690378999832,6.67347804878049
"A","USD","STD","INDL","C",5520,2023,"ALLIENT INC",3621,597.542,251.575,24.097,16.308,30.21,0.0403268724206834,492.66468,1.95832129583623,0.0403268724206834,1.95832129583623
"A","USD","STD","INDL","C",5523,2023,"HAVERTY FURNITURE",5712,654.133,308.366,56.319,16.147,35.5,0.0860971698416071,573.2185,1.85889008515855,0.0860971698416071,1.85889008515855
"A","USD","STD","INDL","C",5526,2023,"HAWAIIAN ELECTRIC INDS",4911,17243.821,2379.134,201.128,110.152,14.19,0.0116637721999086,1563.05688,0.656985642675024,0.0116637721999086,0.656985642675024
"A","USD","STD","INDL","C",5530,2023,"HAWKINS INC",5160,657.934,406.026,75.363,20.79,76.8,0.114544923958938,1596.672,3.93243782417875,0.114544923958938,3.93243782417875
"A","USD","STD","INDL","C",5539,2023,"HEALTHCARE SERVICES GROUP",8090,790.652,456.616,38.386,73.341,10.37,0.0485498044651756,760.54617,1.66561436743347,0.0485498044651756,1.66561436743347
"A","USD","STD","INDL","C",5559,2023,"STERLING INFRASTRUCTURE INC",1700,1777.184,618.913,138.655,30.926,87.93,0.0780194960116679,2719.32318,4.39370829179545,0.0780194960116679,4.39370829179545
"A","USD","STD","INDL","C",5560,2023,"HECLA MINING CO",1040,3011.104,1968.104,-84.217,616.112,4.81,-0.0279688114392595,2963.49872,1.50576327267258,-0.0279688114392595,1.50576327267258
"A","USD","STD","INDL","C",5567,2023,"HEICO CORP",3724,7195.063,3145.995,403.596,138.228,158.41,0.0560934629759322,21896.69748,6.96018190747284,0.0560934629759322,6.96018190747284
"A","USD","STD","INDL","C",5568,2023,"KRAFT HEINZ CO",2030,90339,49526,2855,1218,36.98,0.0316031835641307,45041.64,0.909454427977224,0.0316031835641307,0.909454427977224
"A","USD","STD","INDL","C",5572,2023,"HELEN OF TROY LTD",3634,2838.622,1637.442,168.594,23.751,125,0.0593929026126057,2968.875,1.81311765546505,0.0593929026126057,1.81311765546505
"A","USD","STD","INDL","C",5581,2023,"HELMERICH & PAYNE",1381,4381.956,2771.943,434.1,99.427,42.16,0.0990653488989848,4191.84232,1.51223972498713,0.0990653488989848,1.51223972498713
